channel_id,public_name,genre,views,estimatedMinutesWatched,subscribersGained,comments,likes,dislikes,total_subscribers,views_subs,likes_dislikes
UCSLQKylf_bibeVwMnBO1MRg,All Time Low,pop,24097899.0,61628629.0,103388.0,6438.0,297591.0,6152.0,594000,233.08216620884434,48.37304941482445
UCwz27-w-tKfggAAMHfPv87A,Sanna Nielsen,pop,2961888.0,6032357.0,13900.0,1058.0,53813.0,1090.0,107000,213.08546762589927,49.3697247706422
UCAHVrt4GYU5lmFwJun1iSDA,Tegan and Sara,pop,3648045.0,9440616.0,14340.0,1810.0,47936.0,1133.0,291000,254.39644351464435,42.30891438658429
UCUEbHDslJapXJqPNkVOI0ag,Harlem,rock,234807.0,641304.0,449.0,68.0,1427.0,81.0,2230,522.9554565701559,17.617283950617285
UCeXZ2XJVOPka_GiaFUdOLvA,Bleeding Gods,metal,368.0,498.0,26.0,0.0,7.0,0.0,264,14.153846153846153,0.0
UCoHwisHb57mjyyNz5pLB8tg,Léa Paci,pop,1123983.0,2732568.0,3082.0,379.0,8804.0,353.0,46900,364.6927319922128,24.940509915014164
UCYoYzoVWJGImZdL1ctdPlHg,Thomas Official,pop,40003.0,64749.0,535.0,13.0,386.0,9.0,31900,74.77196261682244,42.888888888888886
UCw7r-Mlc2hBm16k5Sw6rDUQ,MarieMaiOfficielFR,pop,107566.0,252965.0,193.0,12.0,587.0,26.0,5280,557.3367875647668,22.576923076923077
UC64i_jBk-Z5M2L67X98-ReQ,Brandon Jenner,pop,248183.0,596945.0,1905.0,616.0,4560.0,66.0,14900,130.27979002624673,69.0909090909091
UCm09uYWfEygr5gWjDm9xmUA,Rod Stewart,rock,133859919.0,405490285.0,810996.0,29627.0,1138315.0,47013.0,2960000,165.05620126363138,24.212770935698636
UCP1b9jYyEqiNhJi4GqYdovw,Warner Music México,latin,700423923.0,2082628880.0,669761.0,97811.0,4098421.0,162080.0,4130000,1045.7818878674632,25.28640794669299
UCTyhC0OHQrywY5RjqH9R62g,Paula Cendejas,urban,1913403.0,4718140.0,6176.0,726.0,27971.0,523.0,108000,309.81266191709847,53.48183556405354
UCW5bPOVKOxDBNlIQBacw6Ow,The Amity Affliction,metal,16920154.0,51100553.0,35168.0,4722.0,172707.0,4244.0,369000,481.12357825295726,40.694392082940624
UCPMprzST1CU3Y16lsyDeyzQ,Okta Logue,rock,32095.0,121400.0,177.0,33.0,418.0,10.0,1900,181.3276836158192,41.8
UCbOmdGuNF-dUQsIN_BO9JTw,WOW TV,pop,484623152.0,1160347941.0,415673.0,67544.0,2781194.0,179117.0,2630000,1165.8759457554377,15.527247553275233
