channel_id,views,estimatedMinutesWatched,subscribersGained,comments,likes,dislikes
UCwiU5L-YUj7AWVAmWHx0K-A,1274335,3178501,2496,529,7884,469
UCmZzJZSp20EIolDL-EfnD6w,1091773,2713082,1598,248,4341,266
UCYwDm_-HHq-cq3YKvpeX7Pg,927801,527162,1165,334,2565,140
UCueIHzorkCaR8-302Q_Gfqw,754662,1837772,1678,412,5973,258
UCwXoqCy4Gf15M2j3wz4_uzQ,555619,1195410,2015,217,5419,112
UCED3LKZLWAy193swHjcgDUQ,494786,1291409,6342,324,8452,150
UCo4OGlYPNpxPvImVmT_Xfzg,451959,1206452,2454,606,7423,229
UCA1IwyTJWR3Gp0Tvz4jCp3A,448139,1063820,1299,57,2071,138
UCkWBtWWMANvzQI2Lcsnukiw,387250,709563,1000,69,3748,471
UCmfGbS-YboR4e67CIZhhKTA,95136,470123,2002,135,1510,27
UC_paE0Wq6dXxanGGtgHkiFQ,67042,131018,193,9,432,21
UCULf4XCNKB918Nzn46Cm_vA,64382,149417,88,12,317,20
UCiVbVqViW1L0UAjXTZJMgwQ,62189,118668,443,80,1193,44
UCoppuO27dFlOOjfYg2cq1Ng,52911,100283,4,49,649,150
UCQieqLwBvXxgv9IKxDeW9zg,37315,84662,702,119,1490,15
UC-htj9-fqxZVtlD5VVmgmTw,34253,85708,347,11,357,30
UCScwzf7hG0FnN8ZFzmOjLxg,24840,33328,132,5,312,10
UC2j95Yd08yQibgMcPXYl8VA,24675,52482,216,56,612,29
UCSGn8AjyJIBhpaSMRjR7ebw,21451,28692,67,22,200,83
UCftIqqhrClqSk3MxxZeBx7A,18838,47020,75,16,239,9
UCrNEfoYeQEf-WxZpsFIpcLA,17640,37087,136,14,225,14
UCaf9TjqrkYQnd3h15n582IQ,14783,27389,169,32,324,4
UCHsSqqj7NDH9I5_6TQiJ6vw,12154,22595,25,2,51,1
UCjaGoLLtbFLH8Nl10lydhlQ,11844,25952,91,3,120,16
UCJrcscyNYXfspnMi6KscZSA,10370,22555,48,7,110,5
UCpmhYu92ybB3sP8agrxR6QA,8601,13458,143,75,317,1
UCgiqxI1Dm8FpX0jW29cj-8Q,5962,9851,185,2,65,-1
UCzJGJYhHgcNvBoB06DfFRIQ,5924,12500,2,4,88,7
UC-Ux9bjrAtuMMvZbbtqK19w,4229,5793,32,0,27,2
UCk8rU9JZFxqMpAkOPP0Wu_g,3325,7198,4,1,25,1
UCQEIfqE3MnOyN9SCS8cHRWA,1353,2311,3,2,35,0
UCFzupDSjmyNF_8kjh8aO6ow,1253,1629,13,3,22,0
UCGY1ywgZ1FvUEVUc6zTZmkA,643,1441,4,1,9,1
UC2XjCWiLxI7UCc1PPaQHNTA,584,838,6,3,8,0
UClQeDT2awEJb7Hu2PLsPvzg,276,595,1,0,3,0
UC24QDGhcpEeKTtEDYSXflMg,0,0,499,0,0,0
UCBxIPQKReItXWeCqzLzkEGA,21315120,46213355,44256,4293,152640,5671
UC4ZFn6TUncwPA0UI819Q3JA,21082999,53942769,49603,6310,346300,5502
UCIVROfF-b3Wjpk-G1-_ulFw,17182561,50334696,33119,3923,143468,3220
UC6ZBO3cPNkToPCx5jaoFDzQ,4691210,12384532,8350,631,32163,1150
UC_fGK_FJk3vg8V5MVtFXmog,4075899,9735704,51,1754,67671,623
UCp6Rugkg2-yKf50HwtsXsUg,2186732,2760723,8159,447,13978,854
UCeuZSIikkhiagrFxPJcZ8Bw,1968413,3733127,11798,1069,25565,948
UC3GWgP_PHnsBgIOSsL-Pxqw,1926868,4535465,3580,511,17305,760
UChA6VTqciHcYoZxo6R2ESnA,674374,1940518,7942,350,8631,463
UCqm2qGjvhw-smS9ONDEn7Fg,618344,1662948,13447,91,3407,164
UCNlisYk2pbTPSejFqEX0YrQ,496241,1539405,16,106,3599,95
UCCXvgrT_uWTvmYwp47lX1mg,229834,455777,1075,207,3159,31
