channel_id,public_name,genre
UCihfR9bbPcwuMS5Y7Uxc5dw,JayDaYoungan •,urban
UClxL3F6F_PAODV_Zkf8nYiQ,Nathan Wiley,pop
UCZhj-UBDbvhXFEPUNXTb9-w,Vic Mirallas,urban
UCY8XzgmPflzpZEFczdGeIFA,JOE GIFTED,urban
UCW69xyNzQzvCNJ2_vyw8ZiQ,onlyILON,pop
UCOUV9PcN3V2B47blEoT1zeQ,Nik & Jay,pop
UCNeW8fX9JEyHvZBYI4WDQ3Q,Taya,urban
UCvl3m1KCm3JCk9uYSvRcRLQ,Studio Caffe,pop
UCHpXxvLVYtGoFLgj-tmgE3A,Louisy Joseph Officiel,pop
UCqVbgXJ9HNWUjT_ChZRSe5w,Roadrunner Canada,metal
UCarNrkLZREWeBw49EId_SDQ,Jamie,pop
UC6rZM25HJGKrylQlKrFYh9w,TheBlackLips,rock
UCinZCCF3IEnIqu1TrVI63UQ,Cyndi Lauper,pop
UC95Qg-xb1eN4dv7bVA6xmeA,Talk Talk band,rock
UCCfKVjtb-x0RuI37yOJnXLQ,SEA,rock
UCIfoB77y20QeFq0aFoOZK6A,coreyhartofficial,pop
UCuWg5vxusYL48_bUDuG04tg,Raya Real,latin
UCxKITjGwUMNSUvlBa9Rdrzg,DavidCavazosOficial,pop
UCUaRrYUIJWOEvJU539e_HwQ,Perfect,rock
UCho87itAnvA8VH-B39AvHdw,Stu Larsen,rock
UC_u6lT3KKqi-G6dxbUcpSEQ,EskimoJoeMusic,rock
UCgJMQU7JOIoP-YnrhH_P-bA,Why Don't We,pop
UCcu_7xdBj7XdNDBCCXhP8gw,iam perto,dance
UCEw-QL-G_SJhfaupB0WKMMw,Cashflow ENT,urban
UC2FyrZlHJt7Al48h_99SGJA,Piotr Zioła,rock
UC6lhmm819Eun89ZAE-W4l3A,Koblížc!,pop
UC6OXwgKH_Uw9z_nYzIw1Sug,Gonçalo Guerra,pop
UCv9bnG14QgGhDOW_XJtDZ2w,oldcrowvideos,country
UCtxLb_Phhs24njb6sgvKWDA,Bajm,pop
UCuBdv66Svl2XFqjxz3R8wHA,PattyTV,pop
UChcrhsMDYCTf8tcMwn2K5-w,Amir,urban
UClr_zK3P0GVbA_C-4093niw,Anton Official,pop
UCFwM7mqRJQltXEduilGLHYg,Alvvays A,pop
UCwp9lm0va87m8PiH_LvAFGw,Hopium,pop
UC3UzB1FK530U8mlB87jajaA,Pareslow,dance
UCCKVsIqMUuWKsU8BGUnE51A,Kayliahofficiel,urban
UCrgWiquB-NYsL3O6D-Lm9_A,Faith Hill,country
UCkw3Wx_MKegD3Jm0hL0X6XA,Peso Da Mafia,urban
UCaC6MYiWVx4oVNLE1FxvEmg,Ben Chandler,pop
UCNDv67gnz57BqtbNO8fYouA,My Life As Ali Thomas,rock
UCvE9U8758ox_muk2_lhHzKQ,EWELINA LISOWSKA OFFICIAL,pop
UCrel63rCXl9evptflnKbPcQ,Alexandra TV,pop
